hr,l
21:21,"{'c': '8072-10', 'cl': 34847, 'sl': 2, 'lt0': 'METRÔ MORUMBI', 'lt1': 'PQ. IPÊ', 'qv': 6, 'vs': [{'p': 85761, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.6423545, 'px': -46.7659975, 'sv': None, 'is': None}, {'p': 85488, 'a': True, 'ta': '2025-06-17T00:20:59Z', 'py': -23.5857665, 'px': -46.723943, 'sv': None, 'is': None}, {'p': 85494, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.5857665, 'px': -46.723943, 'sv': None, 'is': None}, {'p': 85713, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.5857665, 'px': -46.723943, 'sv': None, 'is': None}, {'p': 85745, 'a': True, 'ta': '2025-06-17T00:20:46Z', 'py': -23.602155, 'px': -46.744352, 'sv': None, 'is': None}, {'p': 85744, 'a': True, 'ta': '2025-06-17T00:20:27Z', 'py': -23.6238995, 'px': -46.764221, 'sv': None, 'is': None}]}"
21:21,"{'c': '3023-10', 'cl': 33728, 'sl': 2, 'lt0': 'PQ. SÃO RAFAEL', 'lt1': 'SHOP. ARICANDUVA', 'qv': 4, 'vs': [{'p': 45304, 'a': True, 'ta': '2025-06-17T00:20:44Z', 'py': -23.564069, 'px': -46.5051995, 'sv': None, 'is': None}, {'p': 45386, 'a': True, 'ta': '2025-06-17T00:20:52Z', 'py': -23.633243, 'px': -46.4727775, 'sv': None, 'is': None}, {'p': 45352, 'a': True, 'ta': '2025-06-17T00:21:06Z', 'py': -23.571445, 'px': -46.506398000000004, 'sv': None, 'is': None}, {'p': 45584, 'a': True, 'ta': '2025-06-17T00:20:24Z', 'py': -23.612727, 'px': -46.4755815, 'sv': None, 'is': None}]}"
21:21,"{'c': '573T-10', 'cl': 34400, 'sl': 2, 'lt0': 'METRÔ CARRÃO', 'lt1': 'TERM. SAPOPEMBA', 'qv': 8, 'vs': [{'p': 55231, 'a': True, 'ta': '2025-06-17T00:20:23Z', 'py': -23.614006, 'px': -46.501399000000006, 'sv': None, 'is': None}, {'p': 55010, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.602982, 'px': -46.4898225, 'sv': None, 'is': None}, {'p': 55297, 'a': True, 'ta': '2025-06-17T00:20:27Z', 'py': -23.5954415, 'px': -46.48895425, 'sv': None, 'is': None}, {'p': 55221, 'a': True, 'ta': '2025-06-17T00:20:31Z', 'py': -23.607791499999998, 'px': -46.491024499999995, 'sv': None, 'is': None}, {'p': 55356, 'a': True, 'ta': '2025-06-17T00:20:58Z', 'py': -23.54444625, 'px': -46.54590225, 'sv': None, 'is': None}, {'p': 55032, 'a': True, 'ta': '2025-06-17T00:20:28Z', 'py': -23.562264499999998, 'px': -46.516679, 'sv': None, 'is': None}, {'p': 55426, 'a': True, 'ta': '2025-06-17T00:20:52Z', 'py': -23.614441499999998, 'px': -46.500118, 'sv': None, 'is': None}, {'p': 55408, 'a': True, 'ta': '2025-06-17T00:21:02Z', 'py': -23.614045, 'px': -46.501459999999994, 'sv': None, 'is': None}]}"
21:21,"{'c': '3459-10', 'cl': 33170, 'sl': 2, 'lt0': 'TERM. PQ. D. PEDRO II', 'lt1': 'ITAIM PAULISTA', 'qv': 20, 'vs': [{'p': 31840, 'a': True, 'ta': '2025-06-17T00:21:01Z', 'py': -23.547625500000002, 'px': -46.629791499999996, 'sv': None, 'is': None}, {'p': 31229, 'a': True, 'ta': '2025-06-17T00:20:27Z', 'py': -23.494943, 'px': -46.405331000000004, 'sv': None, 'is': None}, {'p': 31822, 'a': True, 'ta': '2025-06-17T00:20:28Z', 'py': -23.552181125000004, 'px': -46.609944375, 'sv': None, 'is': None}, {'p': 31849, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.5154165, 'px': -46.455321, 'sv': None, 'is': None}, {'p': 31833, 'a': True, 'ta': '2025-06-17T00:20:46Z', 'py': -23.547625500000002, 'px': -46.629791499999996, 'sv': None, 'is': None}, {'p': 31828, 'a': True, 'ta': '2025-06-17T00:20:58Z', 'py': -23.538123, 'px': -46.562737, 'sv': None, 'is': None}, {'p': 31819, 'a': True, 'ta': '2025-06-17T00:21:02Z', 'py': -23.4950285, 'px': -46.409884500000004, 'sv': None, 'is': None}, {'p': 31831, 'a': True, 'ta': '2025-06-17T00:21:01Z', 'py': -23.5505480625, 'px': -46.60690443749999, 'sv': None, 'is': None}, {'p': 31827, 'a': True, 'ta': '2025-06-17T00:20:25Z', 'py': -23.5274225, 'px': -46.526696875, 'sv': None, 'is': None}, {'p': 31934, 'a': True, 'ta': '2025-06-17T00:20:52Z', 'py': -23.514958, 'px': -46.500063, 'sv': None, 'is': None}, {'p': 31839, 'a': True, 'ta': '2025-06-17T00:21:01Z', 'py': -23.495272999999997, 'px': -46.4048675, 'sv': None, 'is': None}, {'p': 31834, 'a': True, 'ta': '2025-06-17T00:21:01Z', 'py': -23.5473415, 'px': -46.629296499999995, 'sv': None, 'is': None}, {'p': 31943, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.529068, 'px': -46.527353, 'sv': None, 'is': None}, {'p': 31816, 'a': True, 'ta': '2025-06-17T00:20:44Z', 'py': -23.4952095, 'px': -46.433435, 'sv': None, 'is': None}, {'p': 31079, 'a': True, 'ta': '2025-06-17T00:20:51Z', 'py': -23.516762, 'px': -46.384977500000005, 'sv': None, 'is': None}, {'p': 31843, 'a': True, 'ta': '2025-06-17T00:21:00Z', 'py': -23.51021, 'px': -46.3854855, 'sv': None, 'is': None}, {'p': 31846, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.551941, 'px': -46.624897, 'sv': None, 'is': None}, {'p': 31832, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.5014215, 'px': -46.399111875, 'sv': None, 'is': None}, {'p': 31845, 'a': True, 'ta': '2025-06-17T00:20:51Z', 'py': -23.4952525, 'px': -46.43242, 'sv': None, 'is': None}, {'p': 31830, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.525568, 'px': -46.5259655, 'sv': None, 'is': None}]}"
21:21,"{'c': '1771-10', 'cl': 33402, 'sl': 2, 'lt0': 'METRÔ SANTANA', 'lt1': 'JD. FONTÁLIS', 'qv': 6, 'vs': [{'p': 22557, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.430906, 'px': -46.574909, 'sv': None, 'is': None}, {'p': 22590, 'a': True, 'ta': '2025-06-17T00:20:26Z', 'py': -23.430906, 'px': -46.574909, 'sv': None, 'is': None}, {'p': 22632, 'a': True, 'ta': '2025-06-17T00:20:47Z', 'py': -23.430656, 'px': -46.575369499999994, 'sv': None, 'is': None}, {'p': 22552, 'a': True, 'ta': '2025-06-17T00:20:52Z', 'py': -23.430848, 'px': -46.5747845, 'sv': None, 'is': None}, {'p': 22679, 'a': True, 'ta': '2025-06-17T00:20:40Z', 'py': -23.4308935, 'px': -46.575003499999994, 'sv': None, 'is': None}, {'p': 22746, 'a': True, 'ta': '2025-06-17T00:20:30Z', 'py': -23.479332499999998, 'px': -46.60817874999999, 'sv': None, 'is': None}]}"
21:21,"{'c': '3462-10', 'cl': 33015, 'sl': 2, 'lt0': 'METRÔ TATUAPÉ', 'lt1': 'VL. SANTANA', 'qv': 5, 'vs': [{'p': 32621, 'a': True, 'ta': '2025-06-17T00:20:30Z', 'py': -23.528220875000002, 'px': -46.483773625, 'sv': None, 'is': None}, {'p': 32004, 'a': True, 'ta': '2025-06-17T00:20:52Z', 'py': -23.535483, 'px': -46.4689145, 'sv': None, 'is': None}, {'p': 32048, 'a': True, 'ta': '2025-06-17T00:20:48Z', 'py': -23.52475475, 'px': -46.47498425, 'sv': None, 'is': None}, {'p': 32608, 'a': True, 'ta': '2025-06-17T00:20:51Z', 'py': -23.527196500000002, 'px': -46.4551955, 'sv': None, 'is': None}, {'p': 32067, 'a': True, 'ta': '2025-06-17T00:20:26Z', 'py': -23.527654749999996, 'px': -46.4550565, 'sv': None, 'is': None}]}"
21:21,"{'c': '5018-10', 'cl': 1492, 'sl': 1, 'lt0': 'JABAQUARA', 'lt1': 'SHOP. INTERLAGOS', 'qv': 4, 'vs': [{'p': 68420, 'a': True, 'ta': '2025-06-17T00:20:42Z', 'py': -23.6887665, 'px': -46.6485045, 'sv': None, 'is': None}, {'p': 68357, 'a': True, 'ta': '2025-06-17T00:20:35Z', 'py': -23.648213, 'px': -46.6413555, 'sv': None, 'is': None}, {'p': 68122, 'a': True, 'ta': '2025-06-17T00:20:41Z', 'py': -23.6772605, 'px': -46.6737005, 'sv': None, 'is': None}, {'p': 68179, 'a': True, 'ta': '2025-06-17T00:20:37Z', 'py': -23.675069, 'px': -46.673212, 'sv': None, 'is': None}]}"
21:21,"{'c': '675G-10', 'cl': 106, 'sl': 1, 'lt0': 'METRÔ JABAQUARA', 'lt1': 'PQ. RES. COCAIA', 'qv': 5, 'vs': [{'p': 61285, 'a': True, 'ta': '2025-06-17T00:21:00Z', 'py': -23.7427985, 'px': -46.6697255, 'sv': None, 'is': None}, {'p': 61429, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.7427985, 'px': -46.6697255, 'sv': None, 'is': None}, {'p': 61454, 'a': True, 'ta': '2025-06-17T00:20:37Z', 'py': -23.645481, 'px': -46.664199999999994, 'sv': None, 'is': None}, {'p': 61216, 'a': True, 'ta': '2025-06-17T00:21:05Z', 'py': -23.70004375, 'px': -46.701075625, 'sv': None, 'is': None}, {'p': 61217, 'a': True, 'ta': '2025-06-17T00:20:38Z', 'py': -23.646417, 'px': -46.639355, 'sv': None, 'is': None}]}"
21:21,"{'c': '695H-10', 'cl': 33964, 'sl': 2, 'lt0': 'TERM. STO. AMARO', 'lt1': 'JD. HERPLIN', 'qv': 7, 'vs': [{'p': 61438, 'a': True, 'ta': '2025-06-17T00:20:28Z', 'py': -23.78837, 'px': -46.715108, 'sv': None, 'is': None}, {'p': 61443, 'a': True, 'ta': '2025-06-17T00:20:42Z', 'py': -23.7888855, 'px': -46.715402499999996, 'sv': None, 'is': None}, {'p': 61288, 'a': True, 'ta': '2025-06-17T00:20:32Z', 'py': -23.78837, 'px': -46.715108, 'sv': None, 'is': None}, {'p': 61410, 'a': True, 'ta': '2025-06-17T00:20:33Z', 'py': -23.66265025, 'px': -46.69258024999999, 'sv': None, 'is': None}, {'p': 61284, 'a': True, 'ta': '2025-06-17T00:20:25Z', 'py': -23.734389999999998, 'px': -46.6990485, 'sv': None, 'is': None}, {'p': 61442, 'a': True, 'ta': '2025-06-17T00:20:20Z', 'py': -23.7808425, 'px': -46.714008500000006, 'sv': None, 'is': None}, {'p': 61293, 'a': True, 'ta': '2025-06-17T00:20:42Z', 'py': -23.704718, 'px': -46.702425000000005, 'sv': None, 'is': None}]}"
21:21,"{'c': '856R-10', 'cl': 1428, 'sl': 1, 'lt0': 'SOCORRO', 'lt1': 'LAPA', 'qv': 12, 'vs': [{'p': 82703, 'a': True, 'ta': '2025-06-17T00:21:00Z', 'py': -23.6585225, 'px': -46.706396999999996, 'sv': None, 'is': None}, {'p': 82656, 'a': True, 'ta': '2025-06-17T00:20:37Z', 'py': -23.6613095, 'px': -46.707041, 'sv': None, 'is': None}, {'p': 82438, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.521862, 'px': -46.6976475, 'sv': None, 'is': None}, {'p': 82696, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.669865, 'px': -46.719399249999995, 'sv': None, 'is': None}, {'p': 82701, 'a': True, 'ta': '2025-06-17T00:20:44Z', 'py': -23.584408500000002, 'px': -46.68334, 'sv': None, 'is': None}, {'p': 82619, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.669646, 'px': -46.718458, 'sv': None, 'is': None}, {'p': 82560, 'a': True, 'ta': '2025-06-17T00:20:36Z', 'py': -23.585649, 'px': -46.6715685, 'sv': None, 'is': None}, {'p': 82506, 'a': True, 'ta': '2025-06-17T00:20:45Z', 'py': -23.6171765, 'px': -46.681056999999996, 'sv': None, 'is': None}, {'p': 82563, 'a': True, 'ta': '2025-06-17T00:20:22Z', 'py': -23.527972, 'px': -46.685323999999994, 'sv': None, 'is': None}, {'p': 82699, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.578630999999998, 'px': -46.68615750000001, 'sv': None, 'is': None}, {'p': 82655, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.669694, 'px': -46.71912525, 'sv': None, 'is': None}, {'p': 82715, 'a': True, 'ta': '2025-06-17T00:20:34Z', 'py': -23.669646, 'px': -46.718458, 'sv': None, 'is': None}]}"
