hr,codigo_linha,origem,destino,tipo,circular,codigo_cl
21:21,3051-10,TERM. A. E. CARVALHO,ERMELINO MATARAZZO,,2,35214
21:21,4012-10,TERM. SÃO MATEUS,JD. IGUATEMI,,2,34953
21:21,775P-10,METRÔ ANA ROSA,JD. GUARAÚ,,1,507
21:21,2733-10,METRÔ ITAQUERA,PQ. GUARANI,,1,948
21:21,3795-10,METRÔ ITAQUERA,JD. SÃO CARLOS,,1,1073
21:21,5757-51,METRÔ CONCEIÇÃO,PEDREIRA,,1,1976
21:21,6003-10,TERM. VARGINHA,TERM. GRAJAÚ,,2,34240
21:21,4286-10,TERM. VL PRUDENTE,VL. INDUSTRIAL,,2,33094
21:21,,,,,,
21:21,5164-41,METRÔ CONCEIÇÃO,VL. GUARANI,,2,34385
21:21,637A-22,TERM. JD. ÂNGELA,ITAIM BIBI,,2,34370
21:21,314V-10,PÇA. ALMEIDA JR.,VL. EMA,,1,311
21:21,5035-10,TERM. SACOMÃ,VL. ARAPUÁ,,2,34436
21:21,1720-10,CANTAREIRA,JD. GUANCÃ,,2,33631
21:21,5030-10,TERM. SACOMÃ,JD. MARIA ESTELA,,2,34437
21:21,5142-10,TERM. PQ. D. PEDRO II,TERM. SAPOPEMBA,,2,34394
21:21,3025-10,CPTM GUAIANASES,JD. WILMA FLOR,,2,33729
21:21,189L-10,LAPA,CONEXÃO VL. IÓRIO,,1,2450
21:21,4312-10,TERM. PQ. D. PEDRO II,JD. MARÍLIA,,1,2172
21:21,7053-21,TERM. CAMPO LIMPO,JD. MARIA SAMPAIO,,2,34663
21:21,1786-10,METRÔ SANTANA,VL. ALBERTINA,,1,649
21:21,233A-10,TERM. VL. CARRÃO,JD. HELENA,,1,249
21:21,5022-10,JABAQUARA,VL. STA. MARGARIDA,,1,1120
21:21,9051-10,TERM. PINHEIROS,LAPA,,1,2089
21:21,8252-10,LAPA,METRÔ BARRA FUNDA,,1,1248
21:21,263C-10,COHAB II,JD. HELENA,,2,33020
21:21,2032-10,METRÔ CARANDIRU,JD. BRASIL,,1,2266
21:21,8007-10,TERM. PIRITUBA,HAB. TURÍSTICA,,2,34025
21:21,407A-10,LGO. DA CONCÓRDIA,SHOP. ARICANDUVA,,1,2194
21:21,775F-31,PQ. DO POVO,JD. DAS PALMAS,,1,2488
21:21,2201-10,CPTM GUAIANASES,DIV. DE FERRAZ,,2,33677
21:21,4706-10,METRÔ VL. MARIANA,JD. MARIA ESTELA II,,2,33067
21:21,2626-10,TERM. PQ. D. PEDRO II,JD. NAZARÉ,,1,376
21:21,4708-10,METRÔ VL. MARIANA,JD. CLÍMAX,,1,332
21:21,958P-10,VL. OLÍMPIA,JD. NARDINI,,1,465
21:21,809V-10,METRÔ - TRIANON - MASP,VL. GOMES,,1,2243
21:21,6017-10,JD. ÂNGELA,JD. NAKAMURA,,1,1206
21:21,253F-10,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,,2,32926
21:21,6074-10,EST. JURUBATUBA,JD. GAIVOTAS,,1,1161
21:21,407W-10,METRÔ CARRÃO,JD. IV CENTENÁRIO,,2,34972
21:21,6816-31,TERM. CAPELINHA,JD. MITSUTANI,,2,34516
21:21,6115-41,TERM. GRAJAÚ,PQ. RES. DOS LAGOS,,2,35009
21:21,179X-10,METRÔ BARRA FUNDA,JD. FONTÁLIS,,2,33448
21:21,273L-10,METRÔ ARTUR ALVIM,CPTM JOSÉ BONIFÁCIO,,1,224
21:21,1767-10,METRÔ TUCURUVI,PQ. EDU CHAVES,,1,628
21:21,2016-10,SÃO MIGUEL,JD. DAS OLIVEIRAS,,2,33670
21:21,7060-10,TERM. CAMPO LIMPO,VALO VELHO,,2,34657
21:21,2727-10,CONJ. A. E. CARVALHO,METRÔ ARTUR ALVIM,,2,33710
21:21,1012-10,JD. MONTE BELO,TERM. JD. BRITANIA,,1,2486
21:21,675M-10,METRÔ JABAQUARA,CENTRO SESC,,1,108
21:21,6835-10,TERM. CAPELINHA,VALO VELHO,,1,12
21:21,1178-33,SÃO MIGUEL,PÇA. DO CORREIO,,2,34778
21:21,PAEM-10,PAESE METRO IDA,PAESE METRO VOLTA,,1,1421
21:21,6115-41,TERM. GRAJAÚ,PQ. RES. DOS LAGOS,,1,2241
21:21,4087-10,VL. POPULAR,E.T. ITAQUERA,,2,35370
21:21,1036-10,CONEXÃO VL. IÓRIO,COHAB BRASILÂNDIA,,2,35221
21:21,1738-10,METRÔ SANTANA,VL. CONSTANÇA,,1,672
21:21,272N-10,PQ. D. PEDRO II,PQ. NOVO MUNDO,,1,705
21:21,3021-10,TERM. VL PRUDENTE,PQ. BANCÁRIO,,1,276
21:21,RNOT-11,RESERVADA NOTURNA,RESERVADA NOTURNA,,2,35078
21:21,3737-31,CIRCULAR,METRÔ GUILHERMINA/ESPERANÇA,,2,34122
21:21,8021-10,BUTANTÃ,JD. MARIA LUIZA,,1,2073
21:21,6258-10,TERM. STO. AMARO,JD. SÃO FRANCISCO,,2,34000
21:21,5026-10,JD. SÃO ROBERTO,CONJ. TEOTÔNIO VILELA,,1,1635
21:21,8020-10,SHOP. MORUMBI,BUTANTÃ,,1,1726
21:21,857A-10,METRÔ STA. CRUZ,TERM. CAMPO LIMPO,,1,1925
21:21,746R-10,STO. AMARO,REAL PQ.,,2,33558
21:21,8019-31,TERM. VL. SÔNIA,PQ. CONTINENTAL,,2,35342
21:21,476L-10,LAR ESC. SÃO FRANCISCO,METRÔ VL. MARIANA,,1,262
21:21,7006-10,JD. ÂNGELA,JD. HORIZONTE AZUL,,1,1995
21:21,7267-10,PÇA. RAMOS DE AZEVEDO,APIACÁS,,1,1427
21:21,8538-10,PÇA. DO CORREIO,FREGUESIA DO Ó,,2,34127
21:21,8018-10,METRÔ MORUMBI,VL. SÔNIA,,1,2070
21:21,6816-10,TERM. CAPELINHA,JD. MITSUTANI,,1,26
21:21,5022-10,JABAQUARA,VL. STA. MARGARIDA,,2,33888
21:21,3006-10,CPTM GUAIANASES,JD. FANGANIELO,,1,1865
21:21,2203-10,SHOP. PENHA,BURGO PAULISTA,,2,33679
21:21,311C-10,BOM RETIRO,PQ. SÃO LUCAS,,1,309
21:21,809D-10,TERM. PINHEIROS,COHAB EDUCANDÁRIO,,2,34836
21:21,1012-21,JD. ROSINHA,TERM. JD. BRITÂNIA,,2,35338
21:21,9015-10,TERM. PIRITUBA,VL. ZATT,,2,34037
21:21,128Y-10,LAPA,JD. PERY ALTO,,1,843
21:21,2101-41,TERM. VL. PRUDENTE,PÇA. SILVIO ROMERO,,1,715
21:21,1782-10,METRÔ SANTANA,VL. NOVA GALVÃO,,1,643
21:21,8027-10,BUTANTÃ,VL. DALVA,,1,2162
21:21,9300-10,TERM. PQ. D. PEDRO II,TERM. CASA VERDE,,1,116
21:21,7052-10,TERM. CAMPO LIMPO,JD. HELGA,,1,1886
21:21,3160-10,TERM. PQ. D. PEDRO II,TERM. VL. PRUDENTE,,2,32893
21:21,637V-10,TERM. STO. AMARO,PQ. AMÉRICA,,1,104
21:21,4735-10,JD. VERA CRUZ,SÃO MATEUS,,2,33878
21:21,6258-31,JD. IBIRAPUERA,JD. STA. MARGARIDA,,2,34551
21:21,9050-10,ITAIM BIBI,TERM. LAPA,,1,2088
21:21,6803-10,TERM. JOÃO DIAS,JD. CAPELINHA,,1,29
21:21,5100-10,TERM. PQ. D. PEDRO II,TERM. PINHEIROS,,1,1370
21:21,3722-10,METRÔ ITAQUERA,COHAB JOSÉ BONIFÁCIO,,2,33788
21:21,605A-10,METRÔ JABAQUARA,CENTRO PARALIMPICO,,1,2522
21:21,475M-10,TERM. AMARAL GURGEL,JD. DA SAÚDE,,2,33111
21:21,6003-21,EST. MENDES/VL. NATAL,TERM. VARGINHA,,2,35344
21:21,6059-10,STO. AMARO,JD. UNIVERSAL,,1,1226
21:21,573T-31,METRÔ CARRÃO,TERM. SAPOPEMBA,,2,35016
21:21,938L-10,LAPA,TERM. CACHOEIRINHA,,2,34136
21:21,9717-10,METRÔ SANTANA,JD. ALMANARA,,2,33585
21:21,7062-31,TERM. CAMPO LIMPO,INOCOOP CAMPO LIMPO,,2,34682
21:21,5108-10,TERM. PQ. D. PEDRO II,JD. CELESTE,,2,34443
21:21,4111-10,PÇA. DA REPÚBLICA,VL. MONUMENTO,,1,320
21:21,3010-10,TERM. A. E. CARVALHO,CEM. DA SAUDADE,,2,35311
21:21,407T-10,METRÔ ITAQUERA,JD. REDIL,,2,34970
21:21,273V-10,METRÔ PENHA,PARADA XV DE NOVEMBRO,,1,231
21:21,909T-1,TERM. PQ. D. PEDRO II,TERM. PINHEIROS,,2,35280
21:21,139A-10,LAPA,VL. IÓRIO,,1,2451
21:21,,,,,,
21:21,9018-10,TERM. PIRITUBA,VL. MIRANTE,,2,34039
21:21,9188-10,LAPA,CAPELA DA LAGOA,,1,809
21:21,9020-10,TERM. PIRITUBA,VL. MIRANTE,,1,1434
21:21,5391-22,JD. ÂNGELA,MOEMA,,1,1778
21:21,5129-41,STO. AMARO,JD. MIRIAM,,2,34742
21:21,6801-10,TERM. JOÃO DIAS,JD. IBIRAPUERA,,1,5
21:21,4017-10,VL. YOLANDA,METALÚRGICOS,,1,2190
21:21,7411-10,PÇA. DA SÉ,CID. UNIVERSITÁRIA,,1,1376
21:21,8075-10,METRÔ BUTANTÃ,TERM. CAMPO LIMPO,,2,34812
21:21,2101-10,PÇA. DA SÉ,PÇA. SILVIO ROMERO,,1,714
21:21,5110-24,TERM. VL. PRUDENTE,SÃO MATEUS,,1,2459
21:21,9166-10,JD. STA. CRUZ,CACHOEIRINHA,,2,33475
21:21,2030-10,METRÔ SANTANA,LAUZANE PAULISTA,,2,35032
21:21,2720-31,METRÔ GUILHERMINA/ESPERANÇA,JD. BELÉM,,2,34610
21:21,1720-21,METRÔ TUCURUVI,VILA SABRINA,,1,1937
21:21,745M-21,PQ. FIGUEIRA GRANDE,CAMPO LIMPO,,2,34752
21:21,6092-10,TERM. GRAJAÚ,JD. DAS PEDRAS,,1,1177
21:21,5109-10,TERM. MERCADO,TERM. VL. PRUDENTE,,2,34619
21:21,119L-10,TERM. LAPA,VL. SULINA,,1,2273
21:21,3013-10,METALÚRGICOS,TERM. CID. TIRADENTES,,2,33722
21:21,5018-31,JABAQUARA,SHOP. INTERLAGOS,,1,1861
21:21,6817-10,TERM. CAPELINHA,JD. SÃO BENTO,,1,27
21:21,519M-10,MUSEU DO IPIRANGA,SÃO MATEUS,,1,2211
21:21,3010-10,TERM. A. E. CARVALHO,CEM. DA SAUDADE,,1,2543
21:21,3902-10,CPTM GUAIANASES,CPTM JD. ROMANO,,1,1470
21:21,4742-10,METRÔ SÃO JUDAS,JD. CLÍMAX,,1,342
21:21,3712-10,METRÔ ITAQUERA,JD. SÃO JOÃO,,2,33777
21:21,5109-10,TERM. MERCADO,TERM. VL. PRUDENTE,,1,1851
21:21,2060-10,METRÔ ARTUR ALVIM,TERM. A. E. CARVALHO,,1,134
21:21,2709-31,VL. UNIÃO,METRÔ PATRIARCA,,1,923
21:21,809U-10,METRÔ BARRA FUNDA,CID. UNIVERSITÁRIA,,1,2254
21:21,778J-10,METRÔ BARRA FUNDA,JD. ARPOADOR,,1,508
21:21,5024-10,STO. AMARO,MISSIONÁRIA,,1,1122
21:21,425E-10,JD. ESTER,TERM. SAPOPEMBA,,2,34404
21:21,5036-10,TERM. SACOMÃ,JD. CELESTE,,2,34434
21:21,809N-10,LAPA,VL. DALVA,,2,35012
21:21,695T-10,METRÔ VL. MARIANA,TERM. CAPELINHA,,1,1322
21:21,9005-10,TERM. CACHOEIRINHA,JD. PRINCESA,,1,872
21:21,2451-10,TERM. ARICANDUVA,VL. SÃO FRANCISCO,,1,213
21:21,3735-10,JD. SÃO JOÃO,METRÔ ARTUR ALVIM,,2,33803
21:21,6034-10,TERM. GRAJAÚ,PQ. RES. COCAIA,,1,95
21:21,6L03-10,TERM. PARELHEIROS,CIPÓ DO MEIO,,1,1565
21:21,3009-10,CPTM ITAIM PAULISTA,ITAIM PAULISTA,,1,2526
21:21,1730-10,METRÔ SANTANA,CENTER NORTE,,2,33633
21:21,4013-10,TERM. SÃO MATEUS,JD. STO. ANDRÉ,,1,2186
21:21,675G-22,COL. STA. MARIA,PQ. RES. COCAIA,,1,1449
21:21,7281-10,PÇA. RAMOS DE AZEVEDO,LAPA,,1,1334
21:21,746K-10,CAMPO BELO,PARAISÓPOLIS,,1,787
21:21,695Y-41,COL. STA. MARIA,TERM. PARELHEIROS,,1,1199
21:21,1745-10,SHOP. CENTER NORTE,VL.NOVA CACHOEIRINHA,,1,546
21:21,606C-10,CANTINHO DO CÉU,CIRCULAR,,2,35363
21:21,4092-10,SETOR IIB,TERM. CID. TIRADENTES,,1,1876
21:21,2707-10,METRÔ ITAQUERA,CHABILÂNDIA,,1,919
21:21,7062-10,TERM. CAMPO LIMPO,INOCOOP CAMPO LIMPO,,1,1898
21:21,8001-10,TERM. LAPA,VL. PIAUÍ,,2,34019
21:21,6052-31,TERM. VARGINHA,JD. ALMEIDA PRADO,,1,1832
21:21,9166-10,JD. STA. CRUZ,CACHOEIRINHA,,1,707
21:21,477U-10,METRÔ VL. MARIANA,HELIÓPOLIS,,1,306
21:21,6816-31,TERM. CAPELINHA,JD. MITSUTANI,,1,1748
21:21,271M-10,METRÔ SANTANA,PQ. NOVO MUNDO,,1,684
21:21,6019-10,JD. ALFREDO,TERM. GUARAPIRANGA,,2,34258
21:21,8073-10,TERM. VL. SÔNIA,JD. GUARAÚ,,1,2081
21:21,8086-10,PINHEIROS,JAGUARÉ,,1,2621
21:21,4032-10,OBJETIVO UNIP,VL. DAS MERCÊS,,2,33870
21:21,4735-10,JD. VERA CRUZ,SÃO MATEUS,,1,1110
21:21,2026-10,PQ. NOVO MUNDO,JAÇANÃ,,1,2269
21:21,2678-10,TERM. PQ. D. PEDRO II,OLIVEIRINHA,,1,383
21:21,9301-10,PÇA. DO CORREIO,TERM. CASA VERDE,,1,458
21:21,2780-10,METRÔ ITAQUERA,JD. CAMARGO NOVO,,1,399
21:21,7012-10,TERM. GUARAPIRANGA,PQ. DO LAGO,,1,2043
21:21,3001-10,TERM. SÃO MIGUEL,ITAIM PAULISTA,,1,1650
21:21,2031-10,TERM. A. E. CARVALHO,CID. KEMEL II,,1,367
21:21,3015-10,JD. MABEL,JD. ROMANO,,2,35222
21:21,3019-10,VL. PAULISTA I,TERM. CID. TIRADENTES,,1,957
21:21,4019-10,CIRCULAR,METRÔ ITAQUERA,,1,2524
21:21,178Y-10,METRÔ JD. SÃO PAULO,VL. AMÉLIA,,2,33636
21:21,607A-21,EST. JURUBATUBA,JD. APURÁ,,2,34908
21:21,909T-10,TERM. PQ. D. PEDRO II,TERM. PINHEIROS,,1,2256
21:21,3795-10,METRÔ ITAQUERA,JD. SÃO CARLOS,,2,33841
21:21,6L02-10,TERM. PARELHEIROS,JD. EUCALIPTOS,,1,1178
21:21,5110-41,METRÔ TAMANDUATEÍ,SÃO MATEUS,,2,34978
21:21,5018-10,JABAQUARA,SHOP. INTERLAGOS,,2,34260
21:21,546A-31,STO. AMARO,JD. APURÁ,,2,33900
