hr,codigo_linha,origem,destino,tipo,circular,codigo_cl
21:21,1758-10,METRÔ SANTANA,JD. ANTÁRTICA,,2,33320
21:21,3901-10,METRÔ PENHA,JD. DANFER,,1,1469
21:21,6027-10,TERM. STO. AMARO,JD. GRAUNA,,1,90
21:21,407L-10,METRÔ GUILHERMINA/ESPERANÇA,BARRO BRANCO,,2,34967
21:21,2011-10,METRÔ SANTANA,VL. SABRINA,,2,34904
21:21,509J-10,PQ. IBIRAPUERA,JD. SELMA,,1,264
21:21,1015-10,CHÁC. MARIA TRINDADE,TERM. JD. BRITÂNIA,,1,2230
21:21,1178-10,PÇA. DO CORREIO,SÃO MIGUEL,,2,32900
21:21,807M-10,SHOP. MORUMBI,TERM. CAMPO LIMPO,,2,34684
21:21,4025-10,METRÔ TATUAPÉ,SÍTIO DAS FIGUEIRAS,,2,33863
21:21,1156-10,PÇA. DO CORREIO,VL. SABRINA,,1,659
21:21,129F-10,METRÔ BARRA FUNDA,CONEXÃO PETRÔNIO PORTELA,,1,2304
21:21,707A-10,METRÔ PÇA. DA ÁRVORE,JD. ÂNGELA,,2,34758
21:21,1178-31,PÇA. DO CORREIO,SÃO MIGUEL,,2,34580
21:21,2702-10,METRÔ ARTUR ALVIM,VL. AMERICANA,,2,33682
21:21,2726-10,METRÔ PENHA,LIMOEIRO,,2,33708
21:21,514T-10,CONJ. HAB. TEOTÔNIO VILELA,TERM. SACOMÃ,,2,34439
21:21,6039-10,STO. AMARO,VALO VELHO,,1,1217
21:21,1743-10,SHOP. D,JD. PERY ALTO,,1,543
21:21,7049-10,TERM. CAMPO LIMPO,PQ. DO LAGO,,2,34680
21:21,1024-10,CONEXÃO PETRÔNIO PORTELA,JD. CAROMBÉ,,2,35070
21:21,809D-10,TERM. PINHEIROS,COHAB EDUCANDÁRIO,,1,2068
21:21,271F-10,METRÔ BELÉM,CENTER NORTE,,1,683
21:21,6013-10,TERM. STO. AMARO,JD. NAKAMURA,,1,186
21:21,2735-10,METRÔ PENHA,JD. KERALUX,,2,34689
21:21,118Y-10,LAPA,LAUZANE PAULISTA,,1,841
21:21,172U-10,MOOCA,CEM. PQ. DOS PINHEIROS,,1,860
21:21,6045-21,TERM. CAPELINHA,VALO VELHO,,2,34932
21:21,877T-10,METRÔ PARAÍSO,VL. ANASTÁCIO,,2,34149
21:21,2523-10,TERM. A. E. CARVALHO,VL. PROGRESSO,,2,33018
21:21,7272-10,PÇA. RAMOS DE AZEVEDO,MERCADO DA LAPA,,1,1333
21:21,6L05-10,TERM. PARELHEIROS,BARRAGEM,,2,33941
21:21,675N-10,METRÔ ANA ROSA,TERM. STO. AMARO,,1,362
21:21,407J-10,METRÔ TATUAPÉ,JD. SOARES,,1,2198
21:21,2202-10,CPTM GUAIANASES,JD. DAS OLIVEIRAS,,2,33678
21:21,177H-10,CID. UNIVERSITÁRIA,METRÔ SANTANA,,1,630
21:21,477A-10,TERM. PINHEIROS,SACOMÃ,,1,346
21:21,6080-10,SHOP. INTERLAGOS,JD. LUCÉLIA,,2,33936
21:21,971A-10,SHOP. D,JD. PRIMAVERA,,2,33426
21:21,3902-10,CPTM GUAIANASES,CPTM JD. ROMANO,,2,34238
21:21,9015-10,TERM. PIRITUBA,VL. ZATT,,1,1269
21:21,1772-10,METRÔ TUCURUVI,JD. FILHOS DA TERRA,,2,33403
21:21,342C-10,PENHA,JD. MARÍLIA,,1,1002
21:21,6006-10,SHOP. INTERLAGOS,JD. HERCULANO,,1,175
21:21,695T-1,METRÔ VL. MARIANA,TERM. CAPELINHA,,1,2619
21:21,4210-10,TERM. PQ. D. PEDRO II,TERM. CID. TIRADENTES,,2,34938
21:21,748R-10,METRÔ BARRA FUNDA,JD. JOÃO XXIII,,1,501
21:21,9005-10,TERM. CACHOEIRINHA,JD. PRINCESA,,2,33640
21:21,2007-10,CPTM ITAIM PAULISTA,CID. KEMEL II,,2,33664
21:21,172K-10,METRÔ TATUAPÉ,JD. TREMEMBÉ,,2,33625
21:21,1722-10,METRÔ TUCURUVI,JD. MARINA,,1,864
21:21,2703-10,METRÔ ITAQUERA,JD. ETELVINA,,2,33683
21:21,407J-10,METRÔ TATUAPÉ,JD. SOARES,,2,34966
21:21,2182-10,PÇA. DO CORREIO,JD. BRASIL,,2,33468
21:21,9653-10,PÇA. DO CORREIO,PEDRA BRANCA,,1,588
21:21,971M-10,METRÔ SANTANA,VL. PENTEADO,,1,612
21:21,4018-10,TERM. SÃO MATEUS,METALÚRGICOS,,2,34959
21:21,139A-10,LAPA,VL. IÓRIO,,2,35219
21:21,2717-10,CANGAÍBA,METRÔ GUILHERMINA/ESPERANÇA,,2,33698
21:21,273X-10,METRÔ ARTUR ALVIM,JD. DAS OLIVEIRAS,,1,392
21:21,172R-10,METRÔ BELÉM,JAÇANÃ,,2,33627
21:21,2703-10,METRÔ ITAQUERA,JD. ETELVINA,,1,915
21:21,374V-10,METRÔ ITAQUERA,JD. SANTANA,,2,34415
21:21,6450-10,TERM. BANDEIRA,TERM. CAPELINHA,,2,32827
21:21,6063-10,TERM. VARGINHA,JD. VARGINHA,,2,33920
21:21,6450-10,TERM. BANDEIRA,TERM. CAPELINHA,,1,59
21:21,6041-10,STO. AMARO,JD. JANGADEIRO,,1,1218
21:21,5031-10,TERM. SACOMÃ,VL. ARAPUÁ,,2,34514
21:21,574J-10,TERM. VL. CARRÃO,METRÔ CONCEIÇÃO,,1,1685
21:21,6021-10,JD. NOVA ERA,TERM. VARGINHA,,2,32945
21:21,6L01-10,TERM. VARGINHA,MARSILAC,,2,33939
21:21,6058-10,TERM. VARGINHA,JD. NORONHA,,2,33917
21:21,4310-10,TERM. PQ. D. PEDRO II,E.T. ITAQUERA,,2,34928
21:21,5025-10,METRÔ TAMANDUATEÍ,JD. GUAIRACÁ,,1,1564
21:21,771P-10,TERM. PINHEIROS,JD. JOÃO XXIII,,2,33274
21:21,5025-10,METRÔ TAMANDUATEÍ,JD. GUAIRACÁ,,2,34332
21:21,3778-10,METRÔ CARRÃO,JD. STA. TEREZINHA,,2,33830
21:21,6418-10,BROOKLIN NOVO,REAL PQ.,,2,33539
21:21,7005-51,METRÔ CAPÃO REDONDO,JD. VERA CRUZ,,2,34767
21:21,3053-10,METRÔ BELÉM,JD. ITÁPOLIS,,2,33741
21:21,9789-10,METRÔ BARRA FUNDA,JD. PAULISTANO,,2,33597
21:21,3459-10,TERM. PQ. D. PEDRO II,ITAIM PAULISTA,,1,402
21:21,546A-10,STO. AMARO,JD. APURÁ,,2,33899
21:21,8025-10,TERM. VL. SÔNIA,JD. ROSA MARIA,,1,2076
21:21,6035-21,TERM. GUARAPIRANGA,VL. GILDA,,1,1795
21:21,6505-10,TERM. BANDEIRA,TERM. GUARAPIRANGA,,2,34218
21:21,6093-10,TERM. GRAJAÚ,VARGEM GRANDE,,2,34353
21:21,2727-10,CONJ. A. E. CARVALHO,METRÔ ARTUR ALVIM,,1,942
21:21,8014-10,PERUS,MORRO DOCE,,2,33569
21:21,354M-10,TERM. SÃO MATEUS,TERM. SÃO MIGUEL,,2,34387
21:21,5300-10,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,,2,33122
21:21,3778-10,METRÔ CARRÃO,JD. STA. TEREZINHA,,1,1062
21:21,354M-10,TERM. SÃO MATEUS,TERM. SÃO MIGUEL,,1,1619
21:21,874C-10,METRÔ - TRIANON - MASP,PQ. CONTINENTAL,,1,477
21:21,373L-10,METRÔ ITAQUERA,JD. LIMOEIRO,,1,1027
21:21,3721-10,METRÔ ARTUR ALVIM,SHOP. ARICANDUVA,,1,1019
21:21,3069-10,TERM. SÃO MATEUS,JD. RECANTO VERDE SOL,,2,33752
21:21,2766-10,METRÔ ITAQUERA,JD. CAMARGO VELHO,,1,405
21:21,7282-10,PÇA. RAMOS DE AZEVEDO,PQ. CONTINENTAL,,1,471
21:21,607C-10,ITAIM BIBI,JD. MIRIAM,,2,34745
21:21,6035-10,STO. AMARO,VL. GILDA,,1,1213
21:21,312N-10,SÃO MIGUEL PAULISTA,TERM. CID. TIRADENTES,,2,33758
21:21,1020-10,CONEXÃO VL. IÓRIO,PERUS,,2,35265
21:21,172Y-10,METRÔ BELÉM,VL. CONSTANÇA,,1,862
21:21,6008-10,EST. STO. AMARO/GUIDO CALOI,JD. PLANALTO,,1,1200
21:21,3739-10,METRÔ ITAQUERA,RECANTO VERDE SOL,,1,1039
21:21,1705-10,METRÔ TUCURUVI,JD. SÃO JOÃO,,2,33617
21:21,5178-10,PÇA. JOÃO MENDES,JD. MIRIAM,,2,33363
21:21,2080-10,TERM. ARICANDUVA,CID. KEMEL,,1,371
21:21,4732-31,METRÔ SAÚDE,VL. LIVIERO,,2,34895
21:21,407Y-10,METRÔ VL. PRUDENTE,PQ. SAVOY CITY,,2,34974
21:21,3763-10,METRÔ TATUAPÉ,TERM. VL. CARRÃO,,1,1054
21:21,5791-10,METRÔ VERGUEIRO,ELDORADO,,2,33375
21:21,5128-10,METRÔ CONCEIÇÃO,JD. APURÁ,,1,1128
21:21,809V-10,METRÔ - TRIANON - MASP,VL. GOMES,,2,35011
21:21,407H-10,METRÔ ITAQUERA,JD. SÃO FRANCISCO,,1,2197
21:21,701A-10,METRÔ VL. MADALENA,PQ. EDU CHAVES,,2,33457
21:21,2552-10,TERM. PQ. D. PEDRO II,VL. MARA,,2,32910
21:21,5129-10,TERM. GUARAPIRANGA,JD. MIRIAM,,1,1281
21:21,2666-10,TERM. PQ. D. PEDRO II,JD. CAMARGO VELHO,,2,33146
21:21,3099-10,JD. DA CONQUISTA,HOSP. SÃO MATEUS,,2,33847
21:21,546T-10,TERM. STO. AMARO,VL. GUACURI,,2,33040
21:21,2626-10,TERM. PQ. D. PEDRO II,JD. NAZARÉ,,2,33144
21:21,6826-10,TERM. CAPELINHA,JD. D. JOSÉ,,2,32784
21:21,4729-10,METRÔ BELÉM,PQ. BANCÁRIO,,2,33876
21:21,6072-10,TERM. VARGINHA,JD. SÃO NICOLAU,,2,34356
21:21,809L-10,LAPA,CAMPO LIMPO,,2,34717
21:21,N140-11,VL. MIRANTE,TERM. PIRITUBA,,2,35064
21:21,119C-10,TERM. PRINC. ISABEL,PQ. EDU CHAVES,,1,661
21:21,407A-10,LGO. DA CONCÓRDIA,SHOP. ARICANDUVA,,2,34962
21:21,3139-10,PÇA. JOÃO MENDES,JD. VL. FORMOSA,,1,995
21:21,7017-10,TERM. GUARAPIRANGA,JD. GUARUJÁ,,2,35270
21:21,273J-10,METRÔ PENHA,JD. ROMANO,,2,33157
21:21,715M-10,LGO. DA PÓLVORA,JD. MARIA LUIZA,,2,33258
21:21,3141-10,TERM. PQ. D. PEDRO II,SÃO MATEUS,,1,734
21:21,4028-10,DIV. DE MAUÁ,HOSP. SÃO MATEUS,,2,33866
21:21,5757-10,METRÔ CONCEIÇÃO,CID. JÚLIA,,1,1288
21:21,477P-10,RIO PEQUENO,IPIRANGA,,1,348
21:21,695Y-10,METRÔ VL. MARIANA,TERM. PARELHEIROS,,1,1198
21:21,1023-10,CPTM PIRITUBA,VL. PIRITUBA,,2,35327
21:21,4027-10,JD. STO. ANDRÉ,HOSP. SÃO MATEUS,,1,1097
21:21,3734-10,METRÔ ARTUR ALVIM,CID. LIDER,,2,33802
21:21,,,,,,
21:21,1756-10,METRÔ SANTANA,PEDRA BRANCA,,2,33315
21:21,4005-10,BARRO BRANCO,TERM. CID. TIRADENTES,,1,2179
21:21,,,,,,
21:21,7550-10,METRÔ STA. CECÍLIA,TERM. STO. AMARO,,2,34861
21:21,5362-23,VICENTE RAO,PQ. RES. COCAIA,,2,34628
21:21,208V-10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO,,2,32975
21:21,407R-10,METRÔ BELÉM,TERM. VL. CARRÃO,,2,34969
21:21,957T-10,VL. OLÍMPIA,COHAB TAIPAS,,2,33232
21:21,2032-10,METRÔ CARANDIRU,JD. BRASIL,,2,35034
21:21,637R-10,TERM. STO. AMARO,JD. ARACATI,,2,32964
21:21,407G-10,METRÔ CARRÃO,JD. NOVA VITÓRIA,,2,34964
21:21,6099-10,DIVISA DE EMBU-GUAÇU,TERM. GRAJAÚ,,2,34355
21:21,1721-10,METRÔ CARANDIRU,VL. SABRINA,,2,33434
21:21,7054-10,TERM. CAMPO LIMPO,JD. MACEDÔNIA,,1,41
21:21,172J-10,TATUAPÉ,JD. BRASIL,,2,33624
21:21,208V-10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO,,1,207
21:21,527R-10,TERM. STO. AMARO,VL. IMPÉRIO,,2,33039
21:21,8300-1,TERM. LAPA,TERM. PIRITUBA,,1,2507
21:21,1783-10,METRÔ SANTANA,CACHOEIRA,,2,33412
21:21,1732-10,TERM. AMARAL GURGEL,VL. SABRINA,,2,33439
21:21,746V-10,HOSP. CAMPO LIMPO,JD. REBOUÇAS,,1,792
21:21,3063-1,TERM. SÃO MATEUS,GUAIANASES,,2,35394
21:21,5175-10,PÇA. DA SÉ,BALN. SÃO FRANCISCO,,1,593
21:21,7016-10,TERM. STO. AMARO,JD. ÂNGELA,,2,34886
21:21,647P-10,TERM. PINHEIROS,COHAB ADVENTISTA,,2,34084
21:21,1896-10,PÇA. RAMOS DE AZEVEDO,JARAGUÁ,,2,35288
21:21,172X-10,METRÔ TATUAPÉ,PQ. NOVO MUNDO,,2,33629
21:21,172N-10,METRÔ BELÉM,SHOP. CENTER NORTE,,2,33432
21:21,390E-10,TERM. PQ. D. PEDRO II,TERM. PENHA,,2,34650
21:21,6016-41,TERM. GRAJAÚ,JD. PORTO VELHO,,2,34474
21:21,4210-10,TERM. PQ. D. PEDRO II,TERM. CID. TIRADENTES,,1,2170
21:21,5123-10,HOSP. SÃO PAULO,JD. MIRIAM,,1,1125
21:21,233C-10,CERET,TERM. A. E. CARVALHO,,1,155
21:21,4025-10,METRÔ TATUAPÉ,SÍTIO DAS FIGUEIRAS,,1,1095
21:21,6505-10,TERM. BANDEIRA,TERM. GUARAPIRANGA,,1,1450
21:21,3414-10,TERM. PQ. D. PEDRO II,VL. DALILA,,2,33514
21:21,5702-10,METRÔ JABAQUARA,REFÚGIO STA. TEREZINHA,,2,33905
21:21,274P-10,METRÔ VL. MARIANA,PENHA,,2,33000
21:21,3020-10,SHOP. ARICANDUVA,COHAB JOSÉ BONIFÁCIO,,2,33726
21:21,938V-10,METRÔ BARRA FUNDA,JD. VISTA ALEGRE,,2,33581
21:21,6250-10,TERM. BANDEIRA,JD. JAQUELINE,,1,468
21:21,208M-10,TERM. PINHEIROS,METRÔ SANTANA,,2,35246
21:21,9090-10,TERM. CASA VERDE,PQ. TIETÊ,,1,884
21:21,4313-10,TERM. PQ. D. PEDRO II,TERM. CID. TIRADENTES,,2,34941
21:21,675P-10,METRÔ CONCEIÇÃO,SHOP. SP MARKET,,2,33043
21:21,172R-10,METRÔ BELÉM,JAÇANÃ,,1,859
21:21,8677-10,LGO. DO PAISSANDÚ,JD. LÍBANO,,2,33211
21:21,2004-10,CPTM GUAIANASES,JD. NSA. SRA. DO CAMINHO,,2,33660
21:21,8500-10,METRÔ BARRA FUNDA,TERM. PIRITUBA,,2,34035
21:21,637A-10,TERM. PINHEIROS,TERM. JD. ÂNGELA,,2,32953
21:21,6500-10,TERM. BANDEIRA,TERM. STO. AMARO,,1,46
21:21,407F-10,METRÔ BELÉM,TERM. SÃO MATEUS,,2,34935
21:21,3301-10,TERM. PQ. D. PEDRO II,TERM. SÃO MIGUEL,,2,34386
21:21,677V-10,EST. GRAJAÚ,JD. ALPINO,,1,112
21:21,675I-10,METRÔ SÃO JUDAS,TERM. JOÃO DIAS,,1,68
21:21,2123-10,LIBERDADE,VL. MEDEIROS,,2,33460
21:21,178L-10,HOSP. DAS CLÍNICAS,LAUZANE PAULISTA,,2,33328
21:21,407N-10,METRÔ PENHA,TERM. CID. TIRADENTES,,1,2169
21:21,576C-10,TERM. STO. AMARO,METRÔ JABAQUARA,,1,1290
21:21,2100-10,PÇA. DA SÉ,TERM. VL. CARRÃO,,2,33481
21:21,6092-10,TERM. GRAJAÚ,JD. DAS PEDRAS,,2,33945
21:21,5752-10,METRÔ CONCEIÇÃO,VL. MISSIONÁRIA,,1,1287
21:21,737A-10,TERM. STO. AMARO,TERM. JD. ÂNGELA,,1,1730
21:21,6451-10,TERM. BANDEIRA,TERM. CAPELINHA,,2,32829
21:21,351F-10,TERM. VL. CARRÃO,JAÇANÃ,,2,33455
21:21,2707-10,METRÔ ITAQUERA,CHABILÂNDIA,,2,33687
21:21,971V-10,SHOP. CENTER NORTE,JD. VISTA ALEGRE,,2,33387
21:21,516N-10,PÇA. D. GASTÃO,JD. MIRIAM,,2,33034
21:21,9701-10,METRÔ BARRA FUNDA,CEM. CACHOEIRINHA,,2,33337
21:21,609F-10,TERM. PRINC. ISABEL,CHÁC. SANTANA,,2,32805
21:21,8705-10,ANHANGABAÚ,SHOP. CONTINENTAL,,1,2072
21:21,6084-10,TERM. VARGINHA,JD. CHÁC. DO SOL,,2,33937
21:21,5110-10,TERM. MERCADO,TERM. SÃO MATEUS,,2,34977
21:21,177H-10,CID. UNIVERSITÁRIA,METRÔ SANTANA,,2,33398
21:21,847P-10,VL. OLÍMPIA,TERM. PIRITUBA,,1,423
21:21,6013-10,TERM. STO. AMARO,JD. NAKAMURA,,2,32954
21:21,4311-10,TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS,,1,2171
21:21,5611-10,PÇA. JOÃO MENDES,ELDORADO,,2,33366
21:21,695Y-10,METRÔ VL. MARIANA,TERM. PARELHEIROS,,2,33966
21:21,2020-10,METRÔ TUCURUVI,HORTO FLORESTAL,,1,2262
21:21,2031-10,TERM. A. E. CARVALHO,CID. KEMEL II,,2,33135
21:21,2080-10,TERM. ARICANDUVA,CID. KEMEL,,2,33139
21:21,778J-41,METRÔ BARRA FUNDA,COHAB RAPOSO TAVARES,,2,34254
21:21,637P-10,TERM. PINHEIROS,TERM. STO. AMARO,,2,32815
21:21,3746-10,METRÔ BELÉM,JD. IMPERADOR,,1,283
21:21,4028-10,DIV. DE MAUÁ,HOSP. SÃO MATEUS,,1,1098
21:21,675L-10,METRÔ STA. CRUZ,TERM. STO. AMARO,,1,1478
21:21,971R-10,METRÔ SANTANA,CPTM JARAGUÁ,,1,614
21:21,4027-41,SÃO MATEUS,MORRO DO CRUZEIRO,,2,35077
21:21,4734-10,METRÔ SAÚDE,VL. MORAES,,1,1109
21:21,1025-10,CONEXÃO PETRÔNIO PORTELA,JD. CAROMBÉ,,1,2303
21:21,6057-10,TERM. GRAJAÚ,VL. NATAL,,1,1148
21:21,6091-10,TERM. STO. AMARO,VARGEM GRANDE,,1,1175
21:21,6031-10,EST. MENDES/VL. NATAL,TERM. GRAJAÚ,,1,92
21:21,709P-10,TERM. PINHEIROS,EST. STO. AMARO/GUIDO CALOI,,2,34761
21:21,273N-10,METRÔ VL. MATILDE,CID. KEMEL II,,2,33158
21:21,707K-10,METRÔ JABAQUARA,TERM. GUARAPIRANGA,,2,35271
21:21,6840-10,TERM. CAPELINHA,TERM. JD. JACIRA,,2,32969
21:21,8078-10,HOSP. CAMPO LIMPO,JD. DAS PALMAS,,2,34848
21:21,4008-10,TERM. VL. CARRÃO,JD. CIBELE,,2,34950
21:21,967A-10,PINHEIROS,IMIRIM,,2,33336
21:21,9300-10,TERM. PQ. D. PEDRO II,TERM. CASA VERDE,,2,32884
21:21,2175-10,TERM. PQ. D. PEDRO II,PQ. EDU CHAVES,,1,697
21:21,2730-10,METRÔ ARTUR ALVIM,VL. JACUI,,2,33713
21:21,172P-10,METRÔ BELÉM,VL. ZILDA,,1,858
21:21,6022-10,JD. ÂNGELA,PQ. CEREJEIRA,,1,1207
21:21,807A-10,TERM. STO. AMARO,TERM. CAMPO LIMPO,,1,1900
21:21,3725-41,VL. ARICANDUVA,METRÔ VL. MATILDE,,1,1531
21:21,2735-21,METRÔ PENHA,JD. SÃO FRANCISCO,,1,514
21:21,1783-10,METRÔ SANTANA,CACHOEIRA,,1,644
21:21,9050-10,ITAIM BIBI,TERM. LAPA,,2,34856
21:21,7053-10,TERM. CAMPO LIMPO,JD. MACEDÔNIA,,2,34655
21:21,2182-10,PÇA. DO CORREIO,JD. BRASIL,,1,700
21:21,7059-10,TERM. CAMPO LIMPO,PQ. DO ENGENHO,,2,34692
21:21,307C-10,METRÔ ARTUR ALVIM,CONJ. ENCOSTA NORTE,,1,2114
21:21,809U-21,METRÔ VILA MADALENA,METRÔ BARRA FUNDA,,1,2307
21:21,2019-10,SHOP. PENHA,PQ. PAINEIRAS,,2,33673
21:21,8019-10,METRÔ BUTANTÃ,PQ. CONTINENTAL,,1,2071
21:21,637R-10,TERM. STO. AMARO,JD. ARACATI,,1,196
21:21,3754-10,METRÔ ITAQUERA,INÁCIO MONTEIRO,,1,1049
21:21,3732-10,METRÔ ITAQUERA,CPTM JOSÉ BONIFÁCIO,,1,1029
21:21,374V-10,METRÔ ITAQUERA,JD. SANTANA,,1,1647
21:21,978T-10,METRÔ BARRA FUNDA,JD. GUARANI,,1,889
21:21,5757-51,METRÔ CONCEIÇÃO,PEDREIRA,,2,34744
21:21,3756-10,METRÔ ITAQUERA,BARRO BRANCO,,2,33818
21:21,6258-10,TERM. STO. AMARO,JD. SÃO FRANCISCO,,1,1232
21:21,6045-10,STO. AMARO,VALO VELHO,,2,33990
21:21,7006-10,JD. ÂNGELA,JD. HORIZONTE AZUL,,2,34763
21:21,917H-10,METRÔ VL. MARIANA,TERM. PIRITUBA,,2,33224
21:21,2723-10,METRÔ ITAQUERA,UNIÃO DE VL. NOVA,,2,33705
21:21,7011-10,JD. ÂNGELA,JD. DOS REIS,,2,34720
21:21,5705-10,METRÔ VERGUEIRO,TERM. SACOMÃ,,1,1657
21:21,736I-10,STO. AMARO,JD. INGÁ,,2,33549
21:21,2088-10,TERM. A. E. CARVALHO,CONJ. ENCOSTA NORTE,,2,33140
21:21,6262-10,TERM. BANDEIRA,CEASA,,1,1371
21:21,2678-10,TERM. PQ. D. PEDRO II,OLIVEIRINHA,,2,33151
21:21,5131-10,PQ. D. PEDRO II,CID. ADEMAR,,2,34050
21:21,5038-10,TERM. SACOMÃ,PQ. BRISTOL,,1,1661
21:21,6063-42,TERM. VARGINHA,CHÁC. STO. AMARO,,2,34770
21:21,637P-10,TERM. PINHEIROS,TERM. STO. AMARO,,1,47
21:21,1732-10,TERM. AMARAL GURGEL,VL. SABRINA,,1,671
21:21,7063-10,TERM. CAMPO LIMPO,JD. MACEDÔNIA,,1,1899
21:21,502J-10,METRÔ STA. CRUZ,EST. AUTÓDROMO,,1,1275
21:21,4222-10,MOOCA,PQ. STA. MADALENA,,1,288
21:21,8528-10,PÇA. DO CORREIO,JD. GUARANI,,2,33343
21:21,509M-10,TERM. PRINC. ISABEL,JD. MIRIAM,,2,34045
21:21,373M-10,SHOP. METRÔ TATUAPÉ,JD. GUAIRACÁ,,1,281
21:21,2708-10,METRÔ ITAQUERA,JD. LAJEADO,,1,921
21:21,1720-10,CANTAREIRA,JD. GUANCÃ,,1,863
21:21,5175-10,PÇA. DA SÉ,BALN. SÃO FRANCISCO,,2,33361
21:21,407I-10,METRÔ BRESSER,CONJ. MANOEL DA NÓBREGA,,2,34990
21:21,8040-10,TERM. LAPA,SOL NASCENTE,,1,406
21:21,414P-10,TERM. NORTE METRÔ CARRÃO,VL. INDUSTRIAL,,2,33873
21:21,4716-10,METRÔ STA. CRUZ,SACOMÃ,,2,33874
21:21,3025-10,CPTM GUAIANASES,JD. WILMA FLOR,,1,961
21:21,6059-10,STO. AMARO,JD. UNIVERSAL,,2,33994
21:21,675R-10,METRÔ JABAQUARA,GRAJAÚ,,1,109
21:21,2715-10,METRÔ PATRIARCA,VL. SÍLVIA,,1,928
21:21,2734-10,METRÔ ITAQUERA,JD. CAMPOS,,1,1760
21:21,1756-10,METRÔ SANTANA,PEDRA BRANCA,,1,547
21:21,3026-10,CPTM GUAIANASES,VL. IOLANDA II,,2,33730
21:21,4111-10,PÇA. DA REPÚBLICA,VL. MONUMENTO,,2,33088
21:21,7057-10,TERM. CAMPO LIMPO,JD. MITSUTANI,,1,1897
21:21,546J-10,STO. AMARO,JD. SELMA,,2,33901
21:21,6021-10,JD. NOVA ERA,TERM. VARGINHA,,1,177
21:21,3785-10,METRÔ ITAQUERA,COHAB BARRO BRANCO,,1,1063
21:21,5013-10,STO. AMARO,JD. LUSO,,1,1117
21:21,2021-10,CPTM GUAIANASES,JD. BANDEIRANTES,,1,906
21:21,2290-10,TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS,,1,718
21:21,958P-10,VL. OLÍMPIA,JD. NARDINI,,2,33233
21:21,516N-10,PÇA. D. GASTÃO,JD. MIRIAM,,1,266
21:21,1896-10,PÇA. RAMOS DE AZEVEDO,JARAGUÁ,,1,2520
21:21,4222-10,MOOCA,PQ. STA. MADALENA,,2,33056
21:21,5141-10,PÇA. DO CORREIO,TERM. SAPOPEMBA,,1,1625
21:21,373T-10,METRÔ BRESSER,JD. ITÁPOLIS,,2,33859
21:21,1017-10,CONEXÃO VL. IÓRIO,PERUS,,2,34909
21:21,3729-10,METRÔ CARRÃO,SHOP. ARICANDUVA,,2,33794
21:21,4002-10,TERM. VL. CARRÃO,GUAIANASES,,1,2177
21:21,736I-10,STO. AMARO,JD. INGÁ,,1,781
21:21,2017-10,SÃO MIGUEL,JD. ROBRU,,2,33671
21:21,6913-10,TERM. BANDEIRA,TERM. VARGINHA,,1,1465
21:21,6815-10,TERM. CAPELINHA,JD. COMERCIAL,,1,25
21:21,4007-10,TERM. VL. CARRÃO,COHAB JUSCELINO,,2,34949
21:21,4314-10,TERM. PQ. D. PEDRO II,INÁCIO MONTEIRO,,2,34942
21:21,675P-10,METRÔ CONCEIÇÃO,SHOP. SP MARKET,,1,275
21:21,5108-10,TERM. PQ. D. PEDRO II,JD. CELESTE,,1,1675
21:21,9006-10,TERM. CACHOEIRINHA,VL. PENTEADO,,2,33642
21:21,3462-10,METRÔ TATUAPÉ,VL. SANTANA,,1,247
21:21,2755-10,METRÔ PENHA,GUAIANASES,,1,233
21:21,372U-10,METRÔ TATUAPÉ,VL. STA. ISABEL,,1,1016
21:21,2203-10,SHOP. PENHA,BURGO PAULISTA,,1,911
21:21,8055-51,METRÔ BARRA FUNDA,PERUS,,1,417
21:21,273G-10,METRÔ ARTUR ALVIM,JD. HELENA,,2,32991
21:21,1788-10,METRÔ SANTANA,JD. FONTÁLIS,,2,33421
21:21,477A-10,TERM. PINHEIROS,SACOMÃ,,2,33114
21:21,513L-10,PQ. BELÉM,TERM. SACOMÃ,,1,1655
21:21,5011-10,STO. AMARO,ELDORADO,,1,1115
21:21,1014-10,MORRO DOCE,CPTM PERUS,,2,35377
21:21,1156-10,PÇA. DO CORREIO,VL. SABRINA,,2,33427
21:21,6000-10,TERM. STO. AMARO,TERM. PARELHEIROS,,2,33908
21:21,3731-10,METRÔ VL. MATILDE,SHOP. ARICANDUVA,,2,33796
21:21,3161-10,TERM. PQ. D. PEDRO II,JD. COLORADO,,1,1084
21:21,6035-21,TERM. GUARAPIRANGA,VL. GILDA,,2,34563
21:21,8016-10,TERM. PIRITUBA,JD. RINCÃO,,2,34114
21:21,807A-10,TERM. STO. AMARO,TERM. CAMPO LIMPO,,2,34668
21:21,5111-10,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,,1,48
21:21,7023-10,TERM. STO. AMARO,JD. NAKAMURA,,2,34920
21:21,3718-10,NOVA AMERICA,METRÔ ARTUR ALVIM,,1,1013
21:21,312N-10,SÃO MIGUEL PAULISTA,TERM. CID. TIRADENTES,,1,990
21:21,2010-10,SHOP. D,PQ. EDU CHAVES,,2,34872
